lambda,rank,eigenvalue
0.1,14,4.670531255977423
0.1,15,4.670531255977423
0.1,16,4.6040726683274995
0.1,17,4.6040726683274995
0.1,18,4.6040726683274995
0.1,19,4.6040726683274915
0.1,20,4.6040726683274915
0.1,21,4.6040726683274915
0.1,22,4.569576639044022
0.1,23,4.569576639044022
0.1,24,4.569576639044022
0.1,25,4.00544123059467
0.125,1,5.177493312043019
0.125,2,5.1455312559774224
0.125,3,5.1455312559774224
0.125,4,5.079072668327499
0.125,5,5.079072668327491
0.125,6,5.044576639044021
0.125,7,4.677493312043019
0.125,8,4.677493312043019
0.125,9,4.677493312043019
0.125,10,4.6455312559774224
0.125,11,4.6455312559774224
0.125,12,4.6455312559774224
0.125,13,4.6455312559774224
0.125,14,4.6455312559774224
0.125,15,4.6455312559774224
0.125,16,4.579072668327499
0.125,17,4.579072668327499
0.125,18,4.579072668327499
0.125,19,4.579072668327491
0.125,20,4.579072668327491
0.125,21,4.579072668327491
0.125,22,4.544576639044021
0.125,23,4.544576639044021
0.125,24,4.544576639044021
0.125,25,4.08044123059467
0.15000000000000002,1,5.252493312043019
0.15000000000000002,2,5.220531255977423
0.15000000000000002,3,5.220531255977423
0.15000000000000002,4,5.154072668327499
0.15000000000000002,5,5.154072668327491
0.15000000000000002,6,5.119576639044022
0.15000000000000002,7,4.652493312043019
0.15000000000000002,8,4.652493312043019
0.15000000000000002,9,4.652493312043019
0.15000000000000002,10,4.620531255977422
0.15000000000000002,11,4.620531255977422
0.15000000000000002,12,4.620531255977422
0.15000000000000002,13,4.620531255977422
0.15000000000000002,14,4.620531255977422
0.15000000000000002,15,4.620531255977422
0.15000000000000002,16,4.554072668327499
0.15000000000000002,17,4.554072668327499
0.15000000000000002,18,4.554072668327499
0.15000000000000002,19,4.554072668327491
0.15000000000000002,20,4.554072668327491
0.15000000000000002,21,4.554072668327491
0.15000000000000002,22,4.519576639044021
0.15000000000000002,23,4.519576639044021
0.15000000000000002,24,4.519576639044021
0.15000000000000002,25,4.15544123059467
0.17500000000000002,1,5.3274933120430195
0.17500000000000002,2,5.295531255977423
0.17500000000000002,3,5.295531255977423
0.17500000000000002,4,5.2290726683274995
0.17500000000000002,5,5.2290726683274915
0.17500000000000002,6,5.194576639044022
0.17500000000000002,7,4.627493312043019
0.17500000000000002,8,4.627493312043019
0.17500000000000002,9,4.627493312043019
0.17500000000000002,10,4.595531255977423
0.17500000000000002,11,4.595531255977423
0.17500000000000002,12,4.595531255977423
0.17500000000000002,13,4.595531255977423
0.17500000000000002,14,4.595531255977423
0.17500000000000002,15,4.595531255977423
0.17500000000000002,16,4.529072668327499
0.17500000000000002,17,4.529072668327499
0.17500000000000002,18,4.529072668327499
0.17500000000000002,19,4.529072668327491
0.17500000000000002,20,4.529072668327491
0.17500000000000002,21,4.529072668327491
0.17500000000000002,22,4.494576639044022
0.17500000000000002,23,4.494576639044022
0.17500000000000002,24,4.494576639044022
0.17500000000000002,25,4.23044123059467
0.2,1,5.402493312043019
0.2,2,5.370531255977422
0.2,3,5.370531255977422
0.2,4,5.3040726683275
0.2,5,5.304072668327491
0.2,6,5.269576639044022
0.2,7,4.602493312043019
0.2,8,4.602493312043019
0.2,9,4.602493312043019
0.2,10,4.570531255977422
0.2,11,4.570531255977422
0.2,12,4.570531255977422
0.2,13,4.570531255977422
0.2,14,4.570531255977422
0.2,15,4.570531255977422
0.2,16,4.504072668327499
0.2,17,4.504072668327499
0.2,18,4.504072668327499
0.2,19,4.504072668327491
0.2,20,4.504072668327491
0.2,21,4.504072668327491
0.2,22,4.469576639044021
0.2,23,4.469576639044021
0.2,24,4.469576639044021
0.2,25,4.3054412305946705
0.225,1,5.477493312043019
0.225,2,5.445531255977422
0.225,3,5.445531255977422
0.225,4,5.379072668327499
0.225,5,5.379072668327491
0.225,6,5.344576639044021
0.225,7,4.5774933120430195
0.225,8,4.5774933120430195
0.225,9,4.5774933120430195
0.225,10,4.545531255977423
0.225,11,4.545531255977423
0.225,12,4.545531255977423
0.225,13,4.545531255977423
0.225,14,4.545531255977423
0.225,15,4.545531255977423
0.225,16,4.4790726683274995
0.225,17,4.4790726683274995
0.225,18,4.4790726683274995
0.225,19,4.4790726683274915
0.225,20,4.4790726683274915
0.225,21,4.4790726683274915
0.225,22,4.444576639044022
0.225,23,4.444576639044022
0.225,24,4.444576639044022
0.225,25,4.38044123059467
0.25,1,5.552493312043019
0.25,2,5.5205312559774224
0.25,3,5.5205312559774224
0.25,4,5.454072668327499
0.25,5,5.454072668327491
0.25,6,5.419576639044021
0.25,7,4.552493312043019
0.25,8,4.552493312043019
0.25,9,4.552493312043019
0.25,10,4.5205312559774224
0.25,11,4.5205312559774224
0.25,12,4.5205312559774224
0.25,13,4.5205312559774224
0.25,14,4.5205312559774224
0.25,15,4.5205312559774224
0.25,16,4.45544123059467
0.25,17,4.45544123059467
0.25,18,4.454072668327499
0.25,19,4.454072668327499
0.25,20,4.454072668327499
0.25,21,4.454072668327491
0.25,22,4.454072668327491
0.25,23,4.454072668327491
0.25,24,4.451589218755759
0.25,25,4.451589218755757
0.275,1,5.627493312043019
0.275,2,5.595531255977423
0.275,3,5.595531255977423
0.275,4,5.529072668327499
0.275,5,5.529072668327491
0.275,6,5.494576639044022
0.275,7,4.53044123059467
0.275,8,4.53044123059467
0.275,9,4.527493312043019
0.275,10,4.527493312043019
0.275,11,4.527493312043019
0.275,12,4.526589218755759
0.275,13,4.526589218755756
0.275,14,4.520995880997439
0.275,15,4.520275930339784
0.275,16,4.520275930339778
0.275,17,4.5035893249853665
0.275,18,4.5035893249853665
0.275,19,4.495531255977422
0.275,20,4.495531255977422
0.275,21,4.495531255977422
0.275,22,4.495531255977422
0.275,23,4.495531255977422
0.275,24,4.495531255977422
0.275,25,4.490149033061601
0.30000000000000004,1,5.7024933120430195
0.30000000000000004,2,5.670531255977423
0.30000000000000004,3,5.670531255977423
0.30000000000000004,4,5.6040726683274995
0.30000000000000004,5,5.6040726683274915
0.30000000000000004,6,5.569576639044022
0.30000000000000004,7,4.60544123059467
0.30000000000000004,8,4.60544123059467
0.30000000000000004,9,4.601589218755759
0.30000000000000004,10,4.601589218755756
0.30000000000000004,11,4.595995880997439
0.30000000000000004,12,4.595275930339784
0.30000000000000004,13,4.5952759303397785
0.30000000000000004,14,4.578589324985367
0.30000000000000004,15,4.578589324985367
0.30000000000000004,16,4.565149033061601
0.30000000000000004,17,4.5651490330615925
0.30000000000000004,18,4.559501024649079
0.30000000000000004,19,4.502493312043019
0.30000000000000004,20,4.502493312043019
0.30000000000000004,21,4.502493312043019
0.30000000000000004,22,4.470531255977423
0.30000000000000004,23,4.470531255977423
0.30000000000000004,24,4.470531255977423
0.30000000000000004,25,4.470531255977423
0.325,1,5.777493312043019
0.325,2,5.745531255977422
0.325,3,5.745531255977422
0.325,4,5.6790726683275
0.325,5,5.679072668327491
0.325,6,5.644576639044022
0.325,7,4.6804412305946705
0.325,8,4.6804412305946705
0.325,9,4.676589218755758
0.325,10,4.6765892187557565
0.325,11,4.670995880997439
0.325,12,4.670275930339784
0.325,13,4.670275930339779
0.325,14,4.653589324985367
0.325,15,4.653589324985367
0.325,16,4.6401490330616015
0.325,17,4.640149033061593
0.325,18,4.634501024649079
0.325,19,4.477493312043019
0.325,20,4.477493312043019
0.325,21,4.477493312043019
0.325,22,4.445531255977422
0.325,23,4.445531255977422
0.325,24,4.445531255977422
0.325,25,4.445531255977422
0.35000000000000003,1,5.852493312043019
0.35000000000000003,2,5.820531255977422
0.35000000000000003,3,5.820531255977422
0.35000000000000003,4,5.754072668327499
0.35000000000000003,5,5.754072668327491
0.35000000000000003,6,5.719576639044021
0.35000000000000003,7,4.75544123059467
0.35000000000000003,8,4.75544123059467
0.35000000000000003,9,4.7515892187557585
0.35000000000000003,10,4.751589218755757
0.35000000000000003,11,4.745995880997439
0.35000000000000003,12,4.745275930339783
0.35000000000000003,13,4.745275930339779
0.35000000000000003,14,4.728589324985366
0.35000000000000003,15,4.728589324985366
0.35000000000000003,16,4.715149033061602
0.35000000000000003,17,4.715149033061593
0.35000000000000003,18,4.709501024649079
0.35000000000000003,19,4.469128116516036
0.35000000000000003,20,4.4524933120430195
0.35000000000000003,21,4.4524933120430195
0.35000000000000003,22,4.4524933120430195
0.35000000000000003,23,4.452319098413327
0.35000000000000003,24,4.452319098413327
0.35000000000000003,25,4.420531255977423
0.375,1,5.927493312043019
0.375,2,5.8955312559774224
0.375,3,5.8955312559774224
0.375,4,5.829072668327499
0.375,5,5.829072668327491
0.375,6,5.794576639044021
0.375,7,4.83044123059467
0.375,8,4.83044123059467
0.375,9,4.826589218755759
0.375,10,4.826589218755757
0.375,11,4.8209958809974385
0.375,12,4.8202759303397835
0.375,13,4.820275930339779
0.375,14,4.803589324985366
0.375,15,4.803589324985366
0.375,16,4.790149033061601
0.375,17,4.790149033061592
0.375,18,4.784501024649079
0.375,19,4.5441281165160365
0.375,20,4.527319098413328
0.375,21,4.527319098413328
0.375,22,4.480550267247682
0.375,23,4.480550267247677
0.375,24,4.443534731727933
0.375,25,4.427493312043019
0.4,1,6.002493312043019
0.4,2,5.970531255977423
0.4,3,5.970531255977423
0.4,4,5.904072668327499
0.4,5,5.904072668327491
0.4,6,5.869576639044022
0.4,7,4.90544123059467
0.4,8,4.90544123059467
0.4,9,4.901589218755759
0.4,10,4.901589218755756
0.4,11,4.8959958809974395
0.4,12,4.895275930339784
0.4,13,4.895275930339778
0.4,14,4.8785893249853665
0.4,15,4.8785893249853665
0.4,16,4.865149033061602
0.4,17,4.865149033061593
0.4,18,4.859501024649079
0.4,19,4.619128116516036
0.4,20,4.602319098413328
0.4,21,4.602319098413328
0.4,22,4.555550267247682
0.4,23,4.555550267247677
0.4,24,4.518534731727932
0.4,25,4.402493312043019
0.42500000000000004,1,6.0774933120430195
0.42500000000000004,2,6.045531255977423
0.42500000000000004,3,6.045531255977423
0.42500000000000004,4,5.9790726683274995
0.42500000000000004,5,5.9790726683274915
0.42500000000000004,6,5.944576639044022
0.42500000000000004,7,4.98044123059467
0.42500000000000004,8,4.98044123059467
0.42500000000000004,9,4.976589218755759
0.42500000000000004,10,4.976589218755756
0.42500000000000004,11,4.970995880997439
0.42500000000000004,12,4.970275930339784
0.42500000000000004,13,4.9702759303397785
0.42500000000000004,14,4.953589324985367
0.42500000000000004,15,4.953589324985367
0.42500000000000004,16,4.940149033061601
0.42500000000000004,17,4.9401490330615925
0.42500000000000004,18,4.934501024649079
0.42500000000000004,19,4.694128116516036
0.42500000000000004,20,4.677319098413328
0.42500000000000004,21,4.677319098413328
0.42500000000000004,22,4.630550267247682
0.42500000000000004,23,4.630550267247677
0.42500000000000004,24,4.5935347317279325
0.42500000000000004,25,4.427908847134638
0.45,1,6.152493312043019
0.45,2,6.120531255977422
0.45,3,6.120531255977422
0.45,4,6.0540726683275
0.45,5,6.054072668327491
0.45,6,6.019576639044022
0.45,7,5.0554412305946705
0.45,8,5.0554412305946705
0.45,9,5.051589218755758
0.45,10,5.0515892187557565
0.45,11,5.045995880997439
0.45,12,5.045275930339784
0.45,13,5.045275930339779
0.45,14,5.028589324985367
0.45,15,5.028589324985367
0.45,16,5.0151490330616015
0.45,17,5.015149033061593
0.45,18,5.009501024649079
0.45,19,4.769128116516036
0.45,20,4.752319098413327
0.45,21,4.752319098413327
0.45,22,4.705550267247682
0.45,23,4.705550267247677
0.45,24,4.668534731727933
0.45,25,4.502908847134639
0.47500000000000003,1,6.227493312043019
0.47500000000000003,2,6.195531255977422
0.47500000000000003,3,6.195531255977422
0.47500000000000003,4,6.129072668327499
0.47500000000000003,5,6.129072668327491
0.47500000000000003,6,6.094576639044021
0.47500000000000003,7,5.13044123059467
0.47500000000000003,8,5.13044123059467
0.47500000000000003,9,5.1265892187557585
0.47500000000000003,10,5.126589218755757
0.47500000000000003,11,5.120995880997439
0.47500000000000003,12,5.120275930339783
0.47500000000000003,13,5.120275930339779
0.47500000000000003,14,5.103589324985366
0.47500000000000003,15,5.103589324985366
0.47500000000000003,16,5.090149033061602
0.47500000000000003,17,5.090149033061593
0.47500000000000003,18,5.084501024649079
0.47500000000000003,19,4.844128116516036
0.47500000000000003,20,4.827319098413327
0.47500000000000003,21,4.827319098413327
0.47500000000000003,22,4.780550267247682
0.47500000000000003,23,4.780550267247677
0.47500000000000003,24,4.743534731727933
0.47500000000000003,25,4.577908847134639
0.5,1,6.302493312043019
0.5,2,6.2705312559774224
0.5,3,6.2705312559774224
0.5,4,6.204072668327499
0.5,5,6.204072668327491
0.5,6,6.169576639044021
0.5,7,5.20544123059467
0.5,8,5.20544123059467
0.5,9,5.201589218755759
0.5,10,5.201589218755757
0.5,11,5.1959958809974385
0.5,12,5.1952759303397835
0.5,13,5.195275930339779
0.5,14,5.178589324985366
0.5,15,5.178589324985366
0.5,16,5.165149033061601
0.5,17,5.165149033061592
0.5,18,5.159501024649079
0.5,19,4.9191281165160365
0.5,20,4.902319098413328
0.5,21,4.902319098413328
0.5,22,4.855550267247682
0.5,23,4.855550267247677
0.5,24,4.818534731727933
0.5,25,4.652908847134638
0.525,1,6.377493312043019
0.525,2,6.345531255977423
0.525,3,6.345531255977423
0.525,4,6.279072668327499
0.525,5,6.279072668327491
0.525,6,6.244576639044022
0.525,7,5.28044123059467
0.525,8,5.28044123059467
0.525,9,5.276589218755759
0.525,10,5.276589218755756
0.525,11,5.2709958809974395
0.525,12,5.270275930339784
0.525,13,5.270275930339778
0.525,14,5.2535893249853665
0.525,15,5.2535893249853665
0.525,16,5.240149033061602
0.525,17,5.240149033061593
0.525,18,5.234501024649079
0.525,19,4.994128116516036
0.525,20,4.977319098413328
0.525,21,4.977319098413328
0.525,22,4.930550267247682
0.525,23,4.930550267247677
0.525,24,4.893534731727932
0.525,25,4.727908847134639
0.55,1,6.4524933120430195
0.55,2,6.420531255977423
0.55,3,6.420531255977423
0.55,4,6.3540726683274995
0.55,5,6.3540726683274915
0.55,6,6.319576639044022
0.55,7,5.35544123059467
0.55,8,5.35544123059467
0.55,9,5.351589218755759
0.55,10,5.351589218755756
0.55,11,5.345995880997439
0.55,12,5.345275930339784
0.55,13,5.3452759303397785
0.55,14,5.328589324985367
0.55,15,5.328589324985367
0.55,16,5.315149033061601
0.55,17,5.3151490330615925
0.55,18,5.309501024649079
0.55,19,5.069128116516036
0.55,20,5.052319098413328
0.55,21,5.052319098413328
0.55,22,5.005550267247682
0.55,23,5.005550267247677
0.55,24,4.9685347317279325
0.55,25,4.802908847134638
0.5750000000000001,1,6.527493312043019
0.5750000000000001,2,6.495531255977422
0.5750000000000001,3,6.495531255977422
0.5750000000000001,4,6.4290726683275
0.5750000000000001,5,6.429072668327491
0.5750000000000001,6,6.394576639044022
0.5750000000000001,7,5.4304412305946705
0.5750000000000001,8,5.4304412305946705
0.5750000000000001,9,5.426589218755758
0.5750000000000001,10,5.4265892187557565
0.5750000000000001,11,5.420995880997439
0.5750000000000001,12,5.420275930339784
0.5750000000000001,13,5.420275930339779
0.5750000000000001,14,5.403589324985367
0.5750000000000001,15,5.403589324985367
0.5750000000000001,16,5.3901490330616015
0.5750000000000001,17,5.390149033061593
0.5750000000000001,18,5.384501024649079
0.5750000000000001,19,5.144128116516036
0.5750000000000001,20,5.127319098413327
0.5750000000000001,21,5.127319098413327
0.5750000000000001,22,5.080550267247682
0.5750000000000001,23,5.080550267247677
0.5750000000000001,24,5.043534731727933
0.5750000000000001,25,4.877908847134639
0.6000000000000001,1,6.60249331204302
0.6000000000000001,2,6.570531255977423
0.6000000000000001,3,6.570531255977423
0.6000000000000001,4,6.504072668327499
0.6000000000000001,5,6.504072668327492
0.6000000000000001,6,6.469576639044021
0.6000000000000001,7,5.50544123059467
0.6000000000000001,8,5.50544123059467
0.6000000000000001,9,5.501589218755759
0.6000000000000001,10,5.501589218755757
0.6000000000000001,11,5.495995880997439
0.6000000000000001,12,5.495275930339783
0.6000000000000001,13,5.495275930339779
0.6000000000000001,14,5.478589324985366
0.6000000000000001,15,5.478589324985366
0.6000000000000001,16,5.465149033061602
0.6000000000000001,17,5.465149033061593
0.6000000000000001,18,5.459501024649079
0.6000000000000001,19,5.219128116516036
0.6000000000000001,20,5.202319098413328
0.6000000000000001,21,5.202319098413328
0.6000000000000001,22,5.155550267247682
0.6000000000000001,23,5.155550267247677
0.6000000000000001,24,5.118534731727933
0.6000000000000001,25,4.952908847134639
0.625,1,6.677493312043019
0.625,2,6.6455312559774224
0.625,3,6.6455312559774224
0.625,4,6.579072668327499
0.625,5,6.579072668327491
0.625,6,6.544576639044021
0.625,7,5.58044123059467
0.625,8,5.58044123059467
0.625,9,5.576589218755759
0.625,10,5.576589218755757
0.625,11,5.5709958809974385
0.625,12,5.5702759303397835
0.625,13,5.570275930339779
0.625,14,5.553589324985366
0.625,15,5.553589324985366
0.625,16,5.540149033061601
0.625,17,5.540149033061592
0.625,18,5.534501024649079
0.625,19,5.2941281165160365
0.625,20,5.277319098413328
0.625,21,5.277319098413328
0.625,22,5.230550267247682
0.625,23,5.230550267247677
0.625,24,5.193534731727933
0.625,25,5.027908847134638
0.65,1,6.752493312043019
0.65,2,6.720531255977423
0.65,3,6.720531255977423
0.65,4,6.654072668327499
0.65,5,6.654072668327491
0.65,6,6.619576639044022
0.65,7,5.65544123059467
0.65,8,5.65544123059467
0.65,9,5.651589218755759
0.65,10,5.651589218755756
0.65,11,5.6459958809974395
0.65,12,5.645275930339784
0.65,13,5.645275930339778
0.65,14,5.6285893249853665
0.65,15,5.6285893249853665
0.65,16,5.615149033061602
0.65,17,5.615149033061593
0.65,18,5.609501024649079
0.65,19,5.369128116516036
0.65,20,5.352319098413328
0.65,21,5.352319098413328
0.65,22,5.305550267247682
0.65,23,5.305550267247677
0.65,24,5.268534731727932
0.65,25,5.102908847134639
0.675,1,6.8274933120430195
0.675,2,6.795531255977423
0.675,3,6.795531255977423
0.675,4,6.7290726683274995
0.675,5,6.7290726683274915
0.675,6,6.694576639044022
0.675,7,5.73044123059467
0.675,8,5.73044123059467
0.675,9,5.726589218755759
0.675,10,5.726589218755757
0.675,11,5.720995880997439
0.675,12,5.720275930339784
0.675,13,5.720275930339779
0.675,14,5.703589324985367
0.675,15,5.703589324985367
0.675,16,5.690149033061601
0.675,17,5.6901490330615925
0.675,18,5.684501024649079
0.675,19,5.444128116516037
0.675,20,5.427319098413328
0.675,21,5.427319098413328
0.675,22,5.380550267247682
0.675,23,5.380550267247678
0.675,24,5.343534731727933
0.675,25,5.177908847134638
0.7000000000000001,1,6.902493312043019
0.7000000000000001,2,6.870531255977422
0.7000000000000001,3,6.870531255977422
0.7000000000000001,4,6.8040726683275
0.7000000000000001,5,6.804072668327491
0.7000000000000001,6,6.769576639044022
0.7000000000000001,7,5.8054412305946705
0.7000000000000001,8,5.8054412305946705
0.7000000000000001,9,5.801589218755758
0.7000000000000001,10,5.8015892187557565
0.7000000000000001,11,5.795995880997439
0.7000000000000001,12,5.795275930339784
0.7000000000000001,13,5.795275930339779
0.7000000000000001,14,5.778589324985367
0.7000000000000001,15,5.778589324985367
0.7000000000000001,16,5.7651490330616015
0.7000000000000001,17,5.765149033061593
0.7000000000000001,18,5.759501024649079
0.7000000000000001,19,5.519128116516036
0.7000000000000001,20,5.502319098413327
0.7000000000000001,21,5.502319098413327
0.7000000000000001,22,5.455550267247682
0.7000000000000001,23,5.455550267247677
0.7000000000000001,24,5.418534731727933
0.7000000000000001,25,5.252908847134639
0.7250000000000001,1,6.97749331204302
0.7250000000000001,2,6.945531255977423
0.7250000000000001,3,6.945531255977423
0.7250000000000001,4,6.879072668327499
0.7250000000000001,5,6.879072668327492
0.7250000000000001,6,6.844576639044021
0.7250000000000001,7,5.88044123059467
0.7250000000000001,8,5.88044123059467
0.7250000000000001,9,5.876589218755759
0.7250000000000001,10,5.876589218755757
0.7250000000000001,11,5.870995880997439
0.7250000000000001,12,5.870275930339783
0.7250000000000001,13,5.870275930339779
0.7250000000000001,14,5.853589324985366
0.7250000000000001,15,5.853589324985366
0.7250000000000001,16,5.840149033061602
0.7250000000000001,17,5.840149033061593
0.7250000000000001,18,5.834501024649079
0.7250000000000001,19,5.594128116516036
0.7250000000000001,20,5.577319098413328
0.7250000000000001,21,5.577319098413328
0.7250000000000001,22,5.530550267247682
0.7250000000000001,23,5.530550267247677
0.7250000000000001,24,5.493534731727933
0.7250000000000001,25,5.327908847134639
0.75,1,7.052493312043019
0.75,2,7.0205312559774224
0.75,3,7.0205312559774224
0.75,4,6.954072668327499
0.75,5,6.954072668327491
0.75,6,6.919576639044021
0.75,7,5.95544123059467
0.75,8,5.95544123059467
0.75,9,5.951589218755759
0.75,10,5.951589218755757
0.75,11,5.9459958809974385
0.75,12,5.9452759303397835
0.75,13,5.945275930339779
0.75,14,5.928589324985366
0.75,15,5.928589324985366
0.75,16,5.915149033061601
0.75,17,5.915149033061592
0.75,18,5.909501024649079
0.75,19,5.6691281165160365
0.75,20,5.652319098413328
0.75,21,5.652319098413328
0.75,22,5.605550267247682
0.75,23,5.605550267247677
0.75,24,5.568534731727933
0.75,25,5.402908847134638
0.775,1,7.127493312043019
0.775,2,7.095531255977423
0.775,3,7.095531255977423
0.775,4,7.029072668327499
0.775,5,7.029072668327491
0.775,6,6.994576639044022
0.775,7,6.03044123059467
0.775,8,6.03044123059467
0.775,9,6.026589218755759
0.775,10,6.026589218755756
0.775,11,6.0209958809974395
0.775,12,6.020275930339784
0.775,13,6.020275930339778
0.775,14,6.0035893249853665
0.775,15,6.0035893249853665
0.775,16,5.990149033061602
0.775,17,5.990149033061593
0.775,18,5.984501024649079
0.775,19,5.744128116516036
0.775,20,5.727319098413328
0.775,21,5.727319098413328
0.775,22,5.680550267247682
0.775,23,5.680550267247677
0.775,24,5.643534731727932
0.775,25,5.477908847134639
0.8,1,7.2024933120430195
0.8,2,7.170531255977423
0.8,3,7.170531255977423
0.8,4,7.1040726683274995
0.8,5,7.1040726683274915
0.8,6,7.069576639044022
0.8,7,6.10544123059467
0.8,8,6.10544123059467
0.8,9,6.101589218755759
0.8,10,6.101589218755757
0.8,11,6.095995880997439
0.8,12,6.095275930339784
0.8,13,6.095275930339779
0.8,14,6.078589324985367
0.8,15,6.078589324985367
0.8,16,6.065149033061601
0.8,17,6.0651490330615925
0.8,18,6.059501024649079
0.8,19,5.819128116516037
0.8,20,5.802319098413328
0.8,21,5.802319098413328
0.8,22,5.755550267247682
0.8,23,5.755550267247678
0.8,24,5.718534731727933
0.8,25,5.552908847134638
0.8250000000000001,1,7.277493312043019
0.8250000000000001,2,7.245531255977422
0.8250000000000001,3,7.245531255977422
0.8250000000000001,4,7.1790726683275
0.8250000000000001,5,7.179072668327491
0.8250000000000001,6,7.144576639044022
0.8250000000000001,7,6.1804412305946705
0.8250000000000001,8,6.1804412305946705
0.8250000000000001,9,6.176589218755758
0.8250000000000001,10,6.1765892187557565
0.8250000000000001,11,6.170995880997439
0.8250000000000001,12,6.170275930339784
0.8250000000000001,13,6.170275930339779
0.8250000000000001,14,6.153589324985367
0.8250000000000001,15,6.153589324985367
0.8250000000000001,16,6.1401490330616015
0.8250000000000001,17,6.140149033061593
0.8250000000000001,18,6.134501024649079
0.8250000000000001,19,5.894128116516036
0.8250000000000001,20,5.877319098413327
0.8250000000000001,21,5.877319098413327
0.8250000000000001,22,5.830550267247682
0.8250000000000001,23,5.830550267247677
0.8250000000000001,24,5.793534731727933
0.8250000000000001,25,5.627908847134639
0.8500000000000001,1,7.35249331204302
0.8500000000000001,2,7.320531255977423
0.8500000000000001,3,7.320531255977423
0.8500000000000001,4,7.254072668327499
0.8500000000000001,5,7.254072668327492
0.8500000000000001,6,7.219576639044021
0.8500000000000001,7,6.25544123059467
0.8500000000000001,8,6.25544123059467
0.8500000000000001,9,6.251589218755759
0.8500000000000001,10,6.251589218755757
0.8500000000000001,11,6.245995880997439
0.8500000000000001,12,6.245275930339783
0.8500000000000001,13,6.245275930339779
0.8500000000000001,14,6.228589324985366
0.8500000000000001,15,6.228589324985366
0.8500000000000001,16,6.215149033061602
0.8500000000000001,17,6.215149033061593
0.8500000000000001,18,6.209501024649079
0.8500000000000001,19,5.969128116516036
0.8500000000000001,20,5.952319098413328
0.8500000000000001,21,5.952319098413328
0.8500000000000001,22,5.905550267247682
0.8500000000000001,23,5.905550267247677
