measurement_id,kind,label,observed,threshold_or_expected,passes
sector_off_05_07,sector_off_diagonal,X1Z1->X2Z1,0.00875000,0.02000000,True
sector_off_05_08,sector_off_diagonal,X1Z1->X2Z2,0.00875000,0.02000000,True
sector_diag_06,sector_diagonal,X1Z2,0.93000000,0.90000000,True
sector_off_06_00,sector_off_diagonal,X1Z2->X0Z0,0.00875000,0.02000000,True
sector_off_06_01,sector_off_diagonal,X1Z2->X1Z0,0.00875000,0.02000000,True
sector_off_06_02,sector_off_diagonal,X1Z2->X2Z0,0.00875000,0.02000000,True
sector_off_06_03,sector_off_diagonal,X1Z2->X0Z1,0.00875000,0.02000000,True
sector_off_06_04,sector_off_diagonal,X1Z2->X0Z2,0.00875000,0.02000000,True
sector_off_06_05,sector_off_diagonal,X1Z2->X1Z1,0.00875000,0.02000000,True
sector_off_06_07,sector_off_diagonal,X1Z2->X2Z1,0.00875000,0.02000000,True
sector_off_06_08,sector_off_diagonal,X1Z2->X2Z2,0.00875000,0.02000000,True
sector_diag_07,sector_diagonal,X2Z1,0.93000000,0.90000000,True
sector_off_07_00,sector_off_diagonal,X2Z1->X0Z0,0.00875000,0.02000000,True
sector_off_07_01,sector_off_diagonal,X2Z1->X1Z0,0.00875000,0.02000000,True
sector_off_07_02,sector_off_diagonal,X2Z1->X2Z0,0.00875000,0.02000000,True
sector_off_07_03,sector_off_diagonal,X2Z1->X0Z1,0.00875000,0.02000000,True
sector_off_07_04,sector_off_diagonal,X2Z1->X0Z2,0.00875000,0.02000000,True
sector_off_07_05,sector_off_diagonal,X2Z1->X1Z1,0.00875000,0.02000000,True
sector_off_07_06,sector_off_diagonal,X2Z1->X1Z2,0.00875000,0.02000000,True
sector_off_07_08,sector_off_diagonal,X2Z1->X2Z2,0.00875000,0.02000000,True
sector_diag_08,sector_diagonal,X2Z2,0.93000000,0.90000000,True
sector_off_08_00,sector_off_diagonal,X2Z2->X0Z0,0.00875000,0.02000000,True
sector_off_08_01,sector_off_diagonal,X2Z2->X1Z0,0.00875000,0.02000000,True
sector_off_08_02,sector_off_diagonal,X2Z2->X2Z0,0.00875000,0.02000000,True
sector_off_08_03,sector_off_diagonal,X2Z2->X0Z1,0.00875000,0.02000000,True
sector_off_08_04,sector_off_diagonal,X2Z2->X0Z2,0.00875000,0.02000000,True
sector_off_08_05,sector_off_diagonal,X2Z2->X1Z1,0.00875000,0.02000000,True
sector_off_08_06,sector_off_diagonal,X2Z2->X1Z2,0.00875000,0.02000000,True
sector_off_08_07,sector_off_diagonal,X2Z2->X2Z1,0.00875000,0.02000000,True
radial_centered_frame,radial_eta,centered_frame,0.100000000000,0.100000000000,True
radial_mixed_shift_phase,radial_eta,mixed_shift_phase,0.182960000000,0.200000000000,True
radial_oam_shift_only,radial_eta,oam_shift_only,0.168000000000,0.200000000000,True
radial_phase_shift_only,radial_eta,phase_shift_only,0.117000000000,0.200000000000,True
lane_segments,lane_replay,segments,1080,1080,True
lane_total_ticks,lane_replay,total_ticks,77760,77760,True
lane_six_hesse_lanes_balanced,lane_replay,six_hesse_lanes_balanced,"[12960, 12960, 12960, 12960, 12960, 12960]","[12960, 12960, 12960, 12960, 12960, 12960]",True
lane_detector_slots_balanced,lane_replay,detector_slots_balanced,"[19440, 19440, 19440, 19440]","[19440, 19440, 19440, 19440]",True
lane_native_d4_ticks,lane_replay,native_d4_ticks,25920,25920,True
lane_s4_relabel_ticks,lane_replay,s4_relabel_ticks,51840,51840,True
