center_quad,outer_quad,from_excluded,to_excluded,shared_pair,comm_k4_mod12
4 13 22 31,0 1 2 3,0,1,2 3,6
4 13 22 31,0 1 2 3,0,2,1 3,6
4 13 22 31,0 1 2 3,0,3,1 2,6
4 13 22 31,0 1 2 3,1,0,2 3,6
4 13 22 31,0 1 2 3,1,2,0 3,6
4 13 22 31,0 1 2 3,1,3,0 2,6
4 13 22 31,0 1 2 3,2,0,1 3,6
4 13 22 31,0 1 2 3,2,1,0 3,6
4 13 22 31,0 1 2 3,2,3,0 1,6
4 13 22 31,0 1 2 3,3,0,1 2,6
4 13 22 31,0 1 2 3,3,1,0 2,6
4 13 22 31,0 1 2 3,3,2,0 1,6
4 15 24 33,0 7 8 9,0,7,8 9,6
4 15 24 33,0 7 8 9,0,8,7 9,6
4 15 24 33,0 7 8 9,0,9,7 8,6
4 15 24 33,0 7 8 9,7,0,8 9,6
4 15 24 33,0 7 8 9,7,8,0 9,6
4 15 24 33,0 7 8 9,7,9,0 8,6
4 15 24 33,0 7 8 9,8,0,7 9,6
4 15 24 33,0 7 8 9,8,7,0 9,6
4 15 24 33,0 7 8 9,8,9,0 7,6
4 15 24 33,0 7 8 9,9,0,7 8,6
4 15 24 33,0 7 8 9,9,7,0 8,6
4 15 24 33,0 7 8 9,9,8,0 7,6
4 14 23 32,0 10 11 12,0,10,11 12,6
4 14 23 32,0 10 11 12,0,11,10 12,6
4 14 23 32,0 10 11 12,0,12,10 11,6
4 14 23 32,0 10 11 12,10,0,11 12,6
4 14 23 32,0 10 11 12,10,11,0 12,6
4 14 23 32,0 10 11 12,10,12,0 11,6
4 14 23 32,0 10 11 12,11,0,10 12,6
4 14 23 32,0 10 11 12,11,10,0 12,6
4 14 23 32,0 10 11 12,11,12,0 10,6
4 14 23 32,0 10 11 12,12,0,10 11,6
4 14 23 32,0 10 11 12,12,10,0 11,6
4 14 23 32,0 10 11 12,12,11,0 10,6
5 13 23 33,0 16 17 18,0,16,17 18,6
5 13 23 33,0 16 17 18,0,17,16 18,6
5 13 23 33,0 16 17 18,0,18,16 17,6
5 13 23 33,0 16 17 18,16,0,17 18,6
5 13 23 33,0 16 17 18,16,17,0 18,6
5 13 23 33,0 16 17 18,16,18,0 17,6
5 13 23 33,0 16 17 18,17,0,16 18,6
5 13 23 33,0 16 17 18,17,16,0 18,6
5 13 23 33,0 16 17 18,17,18,0 16,6
5 13 23 33,0 16 17 18,18,0,16 17,6
5 13 23 33,0 16 17 18,18,16,0 17,6
5 13 23 33,0 16 17 18,18,17,0 16,6
6 13 24 32,0 19 20 21,0,19,20 21,6
6 13 24 32,0 19 20 21,0,20,19 21,6
6 13 24 32,0 19 20 21,0,21,19 20,6
6 13 24 32,0 19 20 21,19,0,20 21,6
6 13 24 32,0 19 20 21,19,20,0 21,6
6 13 24 32,0 19 20 21,19,21,0 20,6
6 13 24 32,0 19 20 21,20,0,19 21,6
6 13 24 32,0 19 20 21,20,19,0 21,6
6 13 24 32,0 19 20 21,20,21,0 19,6
6 13 24 32,0 19 20 21,21,0,19 20,6
6 13 24 32,0 19 20 21,21,19,0 20,6
6 13 24 32,0 19 20 21,21,20,0 19,6
5 15 22 32,0 25 26 27,0,25,26 27,6
5 15 22 32,0 25 26 27,0,26,25 27,6
5 15 22 32,0 25 26 27,0,27,25 26,6
5 15 22 32,0 25 26 27,25,0,26 27,6
5 15 22 32,0 25 26 27,25,26,0 27,6
5 15 22 32,0 25 26 27,25,27,0 26,6
5 15 22 32,0 25 26 27,26,0,25 27,6
5 15 22 32,0 25 26 27,26,25,0 27,6
5 15 22 32,0 25 26 27,26,27,0 25,6
5 15 22 32,0 25 26 27,27,0,25 26,6
5 15 22 32,0 25 26 27,27,25,0 26,6
5 15 22 32,0 25 26 27,27,26,0 25,6
6 14 22 33,0 28 29 30,0,28,29 30,6
6 14 22 33,0 28 29 30,0,29,28 30,6
6 14 22 33,0 28 29 30,0,30,28 29,6
6 14 22 33,0 28 29 30,28,0,29 30,6
6 14 22 33,0 28 29 30,28,29,0 30,6
6 14 22 33,0 28 29 30,28,30,0 29,6
6 14 22 33,0 28 29 30,29,0,28 30,6
6 14 22 33,0 28 29 30,29,28,0 30,6
6 14 22 33,0 28 29 30,29,30,0 28,6
6 14 22 33,0 28 29 30,30,0,28 29,6
6 14 22 33,0 28 29 30,30,28,0 29,6
6 14 22 33,0 28 29 30,30,29,0 28,6
5 14 24 31,0 34 35 36,0,34,35 36,6
5 14 24 31,0 34 35 36,0,35,34 36,6
5 14 24 31,0 34 35 36,0,36,34 35,6
5 14 24 31,0 34 35 36,34,0,35 36,6
5 14 24 31,0 34 35 36,34,35,0 36,6
5 14 24 31,0 34 35 36,34,36,0 35,6
5 14 24 31,0 34 35 36,35,0,34 36,6
5 14 24 31,0 34 35 36,35,34,0 36,6
5 14 24 31,0 34 35 36,35,36,0 34,6
5 14 24 31,0 34 35 36,36,0,34 35,6
5 14 24 31,0 34 35 36,36,34,0 35,6
5 14 24 31,0 34 35 36,36,35,0 34,6
6 15 23 31,0 37 38 39,0,37,38 39,6
6 15 23 31,0 37 38 39,0,38,37 39,6
6 15 23 31,0 37 38 39,0,39,37 38,6
6 15 23 31,0 37 38 39,37,0,38 39,6
6 15 23 31,0 37 38 39,37,38,0 39,6
6 15 23 31,0 37 38 39,37,39,0 38,6
6 15 23 31,0 37 38 39,38,0,37 39,6
6 15 23 31,0 37 38 39,38,37,0 39,6
6 15 23 31,0 37 38 39,38,39,0 37,6
6 15 23 31,0 37 38 39,39,0,37 38,6
6 15 23 31,0 37 38 39,39,37,0 38,6
6 15 23 31,0 37 38 39,39,38,0 37,6
4 16 25 34,1 5 8 11,1,5,8 11,6
4 16 25 34,1 5 8 11,1,8,5 11,6
4 16 25 34,1 5 8 11,1,11,5 8,6
4 16 25 34,1 5 8 11,5,1,8 11,6
4 16 25 34,1 5 8 11,5,8,1 11,6
4 16 25 34,1 5 8 11,5,11,1 8,6
4 16 25 34,1 5 8 11,8,1,5 11,6
4 16 25 34,1 5 8 11,8,5,1 11,6
4 16 25 34,1 5 8 11,8,11,1 5,6
4 16 25 34,1 5 8 11,11,1,5 8,6
4 16 25 34,1 5 8 11,11,5,1 8,6
4 16 25 34,1 5 8 11,11,8,1 5,6
4 19 28 37,1 6 9 12,1,6,9 12,6
4 19 28 37,1 6 9 12,1,9,6 12,6
4 19 28 37,1 6 9 12,1,12,6 9,6
4 19 28 37,1 6 9 12,6,1,9 12,6
4 19 28 37,1 6 9 12,6,9,1 12,6
4 19 28 37,1 6 9 12,6,12,1 9,6
4 19 28 37,1 6 9 12,9,1,6 12,6
4 19 28 37,1 6 9 12,9,6,1 12,6
4 19 28 37,1 6 9 12,9,12,1 6,6
4 19 28 37,1 6 9 12,12,1,6 9,6
4 19 28 37,1 6 9 12,12,6,1 9,6
4 19 28 37,1 6 9 12,12,9,1 6,6
10 13 28 34,1 14 17 20,1,14,17 20,6
10 13 28 34,1 14 17 20,1,17,14 20,6
10 13 28 34,1 14 17 20,1,20,14 17,6
10 13 28 34,1 14 17 20,14,1,17 20,6
10 13 28 34,1 14 17 20,14,17,1 20,6
10 13 28 34,1 14 17 20,14,20,1 17,6
10 13 28 34,1 14 17 20,17,1,14 20,6
10 13 28 34,1 14 17 20,17,14,1 20,6
10 13 28 34,1 14 17 20,17,20,1 14,6
10 13 28 34,1 14 17 20,20,1,14 17,6
10 13 28 34,1 14 17 20,20,14,1 17,6
10 13 28 34,1 14 17 20,20,17,1 14,6
7 13 25 37,1 15 18 21,1,15,18 21,6
7 13 25 37,1 15 18 21,1,18,15 21,6
7 13 25 37,1 15 18 21,1,21,15 18,6
7 13 25 37,1 15 18 21,15,1,18 21,6
7 13 25 37,1 15 18 21,15,18,1 21,6
7 13 25 37,1 15 18 21,15,21,1 18,6
7 13 25 37,1 15 18 21,18,1,15 21,6
7 13 25 37,1 15 18 21,18,15,1 21,6
7 13 25 37,1 15 18 21,18,21,1 15,6
7 13 25 37,1 15 18 21,21,1,15 18,6
7 13 25 37,1 15 18 21,21,15,1 18,6
7 13 25 37,1 15 18 21,21,18,1 15,6
10 16 22 37,1 23 26 29,1,23,26 29,6
10 16 22 37,1 23 26 29,1,26,23 29,6
10 16 22 37,1 23 26 29,1,29,23 26,6
10 16 22 37,1 23 26 29,23,1,26 29,6
10 16 22 37,1 23 26 29,23,26,1 29,6
10 16 22 37,1 23 26 29,23,29,1 26,6
10 16 22 37,1 23 26 29,26,1,23 29,6
10 16 22 37,1 23 26 29,26,23,1 29,6
10 16 22 37,1 23 26 29,26,29,1 23,6
10 16 22 37,1 23 26 29,29,1,23 26,6
10 16 22 37,1 23 26 29,29,23,1 26,6
10 16 22 37,1 23 26 29,29,26,1 23,6
7 19 22 34,1 24 27 30,1,24,27 30,6
7 19 22 34,1 24 27 30,1,27,24 30,6
7 19 22 34,1 24 27 30,1,30,24 27,6
7 19 22 34,1 24 27 30,24,1,27 30,6
7 19 22 34,1 24 27 30,24,27,1 30,6
7 19 22 34,1 24 27 30,24,30,1 27,6
7 19 22 34,1 24 27 30,27,1,24 30,6
7 19 22 34,1 24 27 30,27,24,1 30,6
7 19 22 34,1 24 27 30,27,30,1 24,6
7 19 22 34,1 24 27 30,30,1,24 27,6
7 19 22 34,1 24 27 30,30,24,1 27,6
7 19 22 34,1 24 27 30,30,27,1 24,6
10 19 25 31,1 32 35 38,1,32,35 38,6
10 19 25 31,1 32 35 38,1,35,32 38,6
10 19 25 31,1 32 35 38,1,38,32 35,6
10 19 25 31,1 32 35 38,32,1,35 38,6
10 19 25 31,1 32 35 38,32,35,1 38,6
10 19 25 31,1 32 35 38,32,38,1 35,6
10 19 25 31,1 32 35 38,35,1,32 38,6
10 19 25 31,1 32 35 38,35,32,1 38,6
10 19 25 31,1 32 35 38,35,38,1 32,6
10 19 25 31,1 32 35 38,38,1,32 35,6
10 19 25 31,1 32 35 38,38,32,1 35,6
10 19 25 31,1 32 35 38,38,35,1 32,6
7 16 28 31,1 33 36 39,1,33,36 39,6
7 16 28 31,1 33 36 39,1,36,33 39,6
7 16 28 31,1 33 36 39,1,39,33 36,6
7 16 28 31,1 33 36 39,33,1,36 39,6
7 16 28 31,1 33 36 39,33,36,1 39,6
7 16 28 31,1 33 36 39,33,39,1 36,6
7 16 28 31,1 33 36 39,36,1,33 39,6
7 16 28 31,1 33 36 39,36,33,1 39,6
7 16 28 31,1 33 36 39,36,39,1 33,6
7 16 28 31,1 33 36 39,39,1,33 36,6
7 16 28 31,1 33 36 39,39,33,1 36,6
7 16 28 31,1 33 36 39,39,36,1 33,6
4 17 26 35,2 5 9 10,2,5,9 10,6
4 17 26 35,2 5 9 10,2,9,5 10,6
4 17 26 35,2 5 9 10,2,10,5 9,6
4 17 26 35,2 5 9 10,5,2,9 10,6
4 17 26 35,2 5 9 10,5,9,2 10,6
4 17 26 35,2 5 9 10,5,10,2 9,6
4 17 26 35,2 5 9 10,9,2,5 10,6
4 17 26 35,2 5 9 10,9,5,2 10,6
4 17 26 35,2 5 9 10,9,10,2 5,6
4 17 26 35,2 5 9 10,10,2,5 9,6
4 17 26 35,2 5 9 10,10,5,2 9,6
4 17 26 35,2 5 9 10,10,9,2 5,6
4 21 30 39,2 6 7 11,2,6,7 11,6
4 21 30 39,2 6 7 11,2,7,6 11,6
4 21 30 39,2 6 7 11,2,11,6 7,6
4 21 30 39,2 6 7 11,6,2,7 11,6
4 21 30 39,2 6 7 11,6,7,2 11,6
4 21 30 39,2 6 7 11,6,11,2 7,6
4 21 30 39,2 6 7 11,7,2,6 11,6
4 21 30 39,2 6 7 11,7,6,2 11,6
4 21 30 39,2 6 7 11,7,11,2 6,6
4 21 30 39,2 6 7 11,11,2,6 7,6
4 21 30 39,2 6 7 11,11,6,2 7,6
4 21 30 39,2 6 7 11,11,7,2 6,6
12 13 30 35,2 14 18 19,2,14,18 19,6
12 13 30 35,2 14 18 19,2,18,14 19,6
12 13 30 35,2 14 18 19,2,19,14 18,6
12 13 30 35,2 14 18 19,14,2,18 19,6
12 13 30 35,2 14 18 19,14,18,2 19,6
12 13 30 35,2 14 18 19,14,19,2 18,6
12 13 30 35,2 14 18 19,18,2,14 19,6
12 13 30 35,2 14 18 19,18,14,2 19,6
12 13 30 35,2 14 18 19,18,19,2 14,6
12 13 30 35,2 14 18 19,19,2,14 18,6
12 13 30 35,2 14 18 19,19,14,2 18,6
12 13 30 35,2 14 18 19,19,18,2 14,6
8 13 26 39,2 15 16 20,2,15,16 20,6
8 13 26 39,2 15 16 20,2,16,15 20,6
8 13 26 39,2 15 16 20,2,20,15 16,6
8 13 26 39,2 15 16 20,15,2,16 20,6
8 13 26 39,2 15 16 20,15,16,2 20,6
8 13 26 39,2 15 16 20,15,20,2 16,6
8 13 26 39,2 15 16 20,16,2,15 20,6
8 13 26 39,2 15 16 20,16,15,2 20,6
8 13 26 39,2 15 16 20,16,20,2 15,6
8 13 26 39,2 15 16 20,20,2,15 16,6
8 13 26 39,2 15 16 20,20,15,2 16,6
8 13 26 39,2 15 16 20,20,16,2 15,6
12 17 22 39,2 23 27 28,2,23,27 28,6
12 17 22 39,2 23 27 28,2,27,23 28,6
12 17 22 39,2 23 27 28,2,28,23 27,6
12 17 22 39,2 23 27 28,23,2,27 28,6
12 17 22 39,2 23 27 28,23,27,2 28,6
12 17 22 39,2 23 27 28,23,28,2 27,6
12 17 22 39,2 23 27 28,27,2,23 28,6
12 17 22 39,2 23 27 28,27,23,2 28,6
12 17 22 39,2 23 27 28,27,28,2 23,6
12 17 22 39,2 23 27 28,28,2,23 27,6
12 17 22 39,2 23 27 28,28,23,2 27,6
12 17 22 39,2 23 27 28,28,27,2 23,6
8 21 22 35,2 24 25 29,2,24,25 29,6
8 21 22 35,2 24 25 29,2,25,24 29,6
8 21 22 35,2 24 25 29,2,29,24 25,6
8 21 22 35,2 24 25 29,24,2,25 29,6
8 21 22 35,2 24 25 29,24,25,2 29,6
8 21 22 35,2 24 25 29,24,29,2 25,6
8 21 22 35,2 24 25 29,25,2,24 29,6
8 21 22 35,2 24 25 29,25,24,2 29,6
8 21 22 35,2 24 25 29,25,29,2 24,6
8 21 22 35,2 24 25 29,29,2,24 25,6
8 21 22 35,2 24 25 29,29,24,2 25,6
8 21 22 35,2 24 25 29,29,25,2 24,6
12 21 26 31,2 32 36 37,2,32,36 37,6
12 21 26 31,2 32 36 37,2,36,32 37,6
12 21 26 31,2 32 36 37,2,37,32 36,6
12 21 26 31,2 32 36 37,32,2,36 37,6
12 21 26 31,2 32 36 37,32,36,2 37,6
12 21 26 31,2 32 36 37,32,37,2 36,6
12 21 26 31,2 32 36 37,36,2,32 37,6
12 21 26 31,2 32 36 37,36,32,2 37,6
12 21 26 31,2 32 36 37,36,37,2 32,6
12 21 26 31,2 32 36 37,37,2,32 36,6
12 21 26 31,2 32 36 37,37,32,2 36,6
12 21 26 31,2 32 36 37,37,36,2 32,6
8 17 30 31,2 33 34 38,2,33,34 38,6
8 17 30 31,2 33 34 38,2,34,33 38,6
8 17 30 31,2 33 34 38,2,38,33 34,6
8 17 30 31,2 33 34 38,33,2,34 38,6
8 17 30 31,2 33 34 38,33,34,2 38,6
8 17 30 31,2 33 34 38,33,38,2 34,6
8 17 30 31,2 33 34 38,34,2,33 38,6
8 17 30 31,2 33 34 38,34,33,2 38,6
8 17 30 31,2 33 34 38,34,38,2 33,6
8 17 30 31,2 33 34 38,38,2,33 34,6
8 17 30 31,2 33 34 38,38,33,2 34,6
8 17 30 31,2 33 34 38,38,34,2 33,6
4 18 27 36,3 5 7 12,3,5,7 12,6
4 18 27 36,3 5 7 12,3,7,5 12,6
4 18 27 36,3 5 7 12,3,12,5 7,6
4 18 27 36,3 5 7 12,5,3,7 12,6
4 18 27 36,3 5 7 12,5,7,3 12,6
4 18 27 36,3 5 7 12,5,12,3 7,6
4 18 27 36,3 5 7 12,7,3,5 12,6
4 18 27 36,3 5 7 12,7,5,3 12,6
4 18 27 36,3 5 7 12,7,12,3 5,6
4 18 27 36,3 5 7 12,12,3,5 7,6
4 18 27 36,3 5 7 12,12,5,3 7,6
4 18 27 36,3 5 7 12,12,7,3 5,6
4 20 29 38,3 6 8 10,3,6,8 10,6
4 20 29 38,3 6 8 10,3,8,6 10,6
4 20 29 38,3 6 8 10,3,10,6 8,6
4 20 29 38,3 6 8 10,6,3,8 10,6
4 20 29 38,3 6 8 10,6,8,3 10,6
4 20 29 38,3 6 8 10,6,10,3 8,6
4 20 29 38,3 6 8 10,8,3,6 10,6
4 20 29 38,3 6 8 10,8,6,3 10,6
4 20 29 38,3 6 8 10,8,10,3 6,6
4 20 29 38,3 6 8 10,10,3,6 8,6
4 20 29 38,3 6 8 10,10,6,3 8,6
4 20 29 38,3 6 8 10,10,8,3 6,6
11 13 29 36,3 14 16 21,3,14,16 21,6
11 13 29 36,3 14 16 21,3,16,14 21,6
11 13 29 36,3 14 16 21,3,21,14 16,6
11 13 29 36,3 14 16 21,14,3,16 21,6
11 13 29 36,3 14 16 21,14,16,3 21,6
11 13 29 36,3 14 16 21,14,21,3 16,6
11 13 29 36,3 14 16 21,16,3,14 21,6
11 13 29 36,3 14 16 21,16,14,3 21,6
11 13 29 36,3 14 16 21,16,21,3 14,6
11 13 29 36,3 14 16 21,21,3,14 16,6
11 13 29 36,3 14 16 21,21,14,3 16,6
11 13 29 36,3 14 16 21,21,16,3 14,6
9 13 27 38,3 15 17 19,3,15,17 19,6
9 13 27 38,3 15 17 19,3,17,15 19,6
9 13 27 38,3 15 17 19,3,19,15 17,6
9 13 27 38,3 15 17 19,15,3,17 19,6
9 13 27 38,3 15 17 19,15,17,3 19,6
9 13 27 38,3 15 17 19,15,19,3 17,6
9 13 27 38,3 15 17 19,17,3,15 19,6
9 13 27 38,3 15 17 19,17,15,3 19,6
9 13 27 38,3 15 17 19,17,19,3 15,6
9 13 27 38,3 15 17 19,19,3,15 17,6
9 13 27 38,3 15 17 19,19,15,3 17,6
9 13 27 38,3 15 17 19,19,17,3 15,6
11 18 22 38,3 23 25 30,3,23,25 30,6
11 18 22 38,3 23 25 30,3,25,23 30,6
11 18 22 38,3 23 25 30,3,30,23 25,6
11 18 22 38,3 23 25 30,23,3,25 30,6
11 18 22 38,3 23 25 30,23,25,3 30,6
11 18 22 38,3 23 25 30,23,30,3 25,6
11 18 22 38,3 23 25 30,25,3,23 30,6
11 18 22 38,3 23 25 30,25,23,3 30,6
11 18 22 38,3 23 25 30,25,30,3 23,6
11 18 22 38,3 23 25 30,30,3,23 25,6
11 18 22 38,3 23 25 30,30,23,3 25,6
11 18 22 38,3 23 25 30,30,25,3 23,6
9 20 22 36,3 24 26 28,3,24,26 28,6
9 20 22 36,3 24 26 28,3,26,24 28,6
9 20 22 36,3 24 26 28,3,28,24 26,6
9 20 22 36,3 24 26 28,24,3,26 28,6
9 20 22 36,3 24 26 28,24,26,3 28,6
9 20 22 36,3 24 26 28,24,28,3 26,6
9 20 22 36,3 24 26 28,26,3,24 28,6
9 20 22 36,3 24 26 28,26,24,3 28,6
9 20 22 36,3 24 26 28,26,28,3 24,6
9 20 22 36,3 24 26 28,28,3,24 26,6
9 20 22 36,3 24 26 28,28,24,3 26,6
9 20 22 36,3 24 26 28,28,26,3 24,6
11 20 27 31,3 32 34 39,3,32,34 39,6
11 20 27 31,3 32 34 39,3,34,32 39,6
11 20 27 31,3 32 34 39,3,39,32 34,6
11 20 27 31,3 32 34 39,32,3,34 39,6
11 20 27 31,3 32 34 39,32,34,3 39,6
11 20 27 31,3 32 34 39,32,39,3 34,6
11 20 27 31,3 32 34 39,34,3,32 39,6
11 20 27 31,3 32 34 39,34,32,3 39,6
11 20 27 31,3 32 34 39,34,39,3 32,6
11 20 27 31,3 32 34 39,39,3,32 34,6
11 20 27 31,3 32 34 39,39,32,3 34,6
11 20 27 31,3 32 34 39,39,34,3 32,6
9 18 29 31,3 33 35 37,3,33,35 37,6
9 18 29 31,3 33 35 37,3,35,33 37,6
9 18 29 31,3 33 35 37,3,37,33 35,6
9 18 29 31,3 33 35 37,33,3,35 37,6
9 18 29 31,3 33 35 37,33,35,3 37,6
9 18 29 31,3 33 35 37,33,37,3 35,6
9 18 29 31,3 33 35 37,35,3,33 37,6
9 18 29 31,3 33 35 37,35,33,3 37,6
9 18 29 31,3 33 35 37,35,37,3 33,6
9 18 29 31,3 33 35 37,37,3,33 35,6
9 18 29 31,3 33 35 37,37,33,3 35,6
9 18 29 31,3 33 35 37,37,35,3 33,6
0 1 2 3,4 13 22 31,4,13,22 31,6
0 1 2 3,4 13 22 31,4,22,13 31,6
0 1 2 3,4 13 22 31,4,31,13 22,6
0 1 2 3,4 13 22 31,13,4,22 31,6
0 1 2 3,4 13 22 31,13,22,4 31,6
0 1 2 3,4 13 22 31,13,31,4 22,6
0 1 2 3,4 13 22 31,22,4,13 31,6
0 1 2 3,4 13 22 31,22,13,4 31,6
0 1 2 3,4 13 22 31,22,31,4 13,6
0 1 2 3,4 13 22 31,31,4,13 22,6
0 1 2 3,4 13 22 31,31,13,4 22,6
0 1 2 3,4 13 22 31,31,22,4 13,6
0 10 11 12,4 14 23 32,4,14,23 32,6
0 10 11 12,4 14 23 32,4,23,14 32,6
0 10 11 12,4 14 23 32,4,32,14 23,6
0 10 11 12,4 14 23 32,14,4,23 32,6
0 10 11 12,4 14 23 32,14,23,4 32,6
0 10 11 12,4 14 23 32,14,32,4 23,6
0 10 11 12,4 14 23 32,23,4,14 32,6
0 10 11 12,4 14 23 32,23,14,4 32,6
0 10 11 12,4 14 23 32,23,32,4 14,6
0 10 11 12,4 14 23 32,32,4,14 23,6
0 10 11 12,4 14 23 32,32,14,4 23,6
0 10 11 12,4 14 23 32,32,23,4 14,6
0 7 8 9,4 15 24 33,4,15,24 33,6
0 7 8 9,4 15 24 33,4,24,15 33,6
0 7 8 9,4 15 24 33,4,33,15 24,6
0 7 8 9,4 15 24 33,15,4,24 33,6
0 7 8 9,4 15 24 33,15,24,4 33,6
0 7 8 9,4 15 24 33,15,33,4 24,6
0 7 8 9,4 15 24 33,24,4,15 33,6
0 7 8 9,4 15 24 33,24,15,4 33,6
0 7 8 9,4 15 24 33,24,33,4 15,6
0 7 8 9,4 15 24 33,33,4,15 24,6
0 7 8 9,4 15 24 33,33,15,4 24,6
0 7 8 9,4 15 24 33,33,24,4 15,6
1 5 8 11,4 16 25 34,4,16,25 34,6
1 5 8 11,4 16 25 34,4,25,16 34,6
1 5 8 11,4 16 25 34,4,34,16 25,6
1 5 8 11,4 16 25 34,16,4,25 34,6
1 5 8 11,4 16 25 34,16,25,4 34,6
1 5 8 11,4 16 25 34,16,34,4 25,6
1 5 8 11,4 16 25 34,25,4,16 34,6
1 5 8 11,4 16 25 34,25,16,4 34,6
1 5 8 11,4 16 25 34,25,34,4 16,6
1 5 8 11,4 16 25 34,34,4,16 25,6
1 5 8 11,4 16 25 34,34,16,4 25,6
1 5 8 11,4 16 25 34,34,25,4 16,6
2 5 9 10,4 17 26 35,4,17,26 35,6
2 5 9 10,4 17 26 35,4,26,17 35,6
2 5 9 10,4 17 26 35,4,35,17 26,6
